code,description
9HDQGkPhne,Discount 5 % for all booking
ZfiGcTdZnn,Discount 10 % for all booking
aJeUQ0pMpt,Discount 5% for any Ibis Hua Hin's booking
Uloe1aV66K,Discount 20% for Executive Suite @ Ibis Hua Hin
9pWnzZYgmj,Discount 10% for any The Peri Hotel Khao Yai's booking
PKFqzO0EdF,Discount 15% for Studio Apartment @ SP Home BangSaen
RjUxLF74jL,Discount 15 % for all booking
fJlUN5efst,Discount 10 % for all booking
WtsEPVlsSp,Discount 5 % for all booking
ChM94GoWjw,Discount 10 % for all booking
csb2aHQFoT,Discount 15 % for all booking
kl0OCv8gqG,Discount 5 % for all booking
